# Chips ,# Cores Per Chip ,# Threads Per Core,Processor MHz,Result,Auto Parallelization,Baseline
2,24,1,2300,7.81,Yes,7.62
2,28,1,2200,7.94,Yes,7.71
2,28,1,2200,7.92,Yes,7.7
2,8,1,3600,8.54,Yes,8.29
2,24,1,2600,6.69,Yes,6.5
2,12,1,3400,8.72,Yes,8.45
2,32,1,2100,9.14,Yes,8.87
2,28,1,2600,8.97,Yes,8.71
2,16,1,3200,9.12,Yes,8.85
2,32,1,2600,9.14,Yes,8.86
1,12,1,3200,9.91,Yes,9.65
2,24,1,3200,10.1,Yes,9.8
2,36,1,2700,9.16,Yes,8.93
2,36,1,2700,9.09,Yes,8.81
2,36,1,3000,9.14,Yes,8.88
2,36,1,3000,9.16,Yes,8.92
2,8,1,3600,8.53,Yes,8.26
2,24,1,3000,9.15,Yes,8.87
1,28,1,2100,9.47,Yes,9.22
2,56,1,2100,9.61,Yes,9.32
2,16,1,2100,7.16,Yes,6.97
2,8,1,2600,6.88,Yes,6.68
4,48,1,3000,9.12,Yes,8.87
4,48,1,3200,10.2,Yes,9.95
2,16,1,3200,9.02,Yes,8.75
2,36,1,2300,9.11,Yes,8.83
2,32,1,2600,9.06,Yes,8.76
2,48,1,2100,9.23,Yes,8.95
2,52,1,2100,9.35,Yes,9.02
2,56,1,2100,9.56,Yes,9.27
2,56,1,2500,9.56,Yes,9.28
2,56,1,2500,9.65,Yes,9.34
2,56,1,2500,9.57,Yes,9.24
2,16,1,2100,7.15,Yes,6.93
2,8,1,2600,6.84,Yes,6.63
2,20,1,2200,7.27,Yes,7.04
2,24,1,2100,7.34,Yes,7.11
2,24,1,3200,0,Yes,9.79
4,72,1,2300,9.14,Yes,8.87
4,48,1,3200,0,Yes,9.88
4,48,1,3000,9.15,Yes,8.87
4,104,1,2100,9.35,Yes,9.04
4,104,1,2100,9.36,Yes,9.07
4,112,1,2500,9.59,Yes,9.3
4,48,1,2600,8.95,Yes,8.69
4,24,1,3400,8.88,Yes,8.64
4,64,1,2100,9.07,Yes,8.78
4,56,1,2600,8.97,Yes,8.66
4,32,1,3200,9.09,Yes,8.83
4,48,1,3000,9.11,Yes,8.85
4,80,1,2000,9.16,Yes,8.91
4,72,1,2300,9.13,Yes,8.87
4,64,1,2600,9.07,Yes,8.83
4,32,1,3500,10,Yes,9.76
4,80,1,2400,9.21,Yes,8.91
4,72,1,2700,9.11,Yes,8.83
4,88,1,2100,9.27,Yes,8.98
4,72,1,3000,9.15,Yes,8.84
4,64,1,2000,7.19,Yes,6.98
4,16,1,3600,8.72,Yes,8.48
4,48,1,3000,9.11,Yes,8.87
4,96,1,2100,9.3,Yes,9.03
4,104,1,2000,9.34,Yes,9.09
4,96,1,2700,9.32,Yes,9
4,104,1,2100,9.34,Yes,9.09
4,112,1,2100,9.62,Yes,9.32
4,112,1,2500,9.59,Yes,9.33
16,384,2,2200,5.86,No,5.31
2,44,1,2100,0,Yes,8.8
2,28,1,2200,0,Yes,7.35
2,20,1,2400,0,Yes,7.4
2,40,1,2400,0,Yes,8.73
2,32,1,2600,0,Yes,8.63
2,8,1,3600,0,Yes,7.9
2,12,1,1700,0,Yes,4.11
2,16,1,1700,0,Yes,4.25
2,16,1,1800,0,Yes,6.87
2,40,1,2000,0,Yes,8.84
2,32,1,2000,0,Yes,6.92
2,52,1,2000,0,Yes,8.98
2,32,1,2100,0,Yes,8.7
2,44,1,2100,0,Yes,8.91
2,48,1,2100,0,Yes,8.92
2,52,1,2100,0,Yes,8.99
2,56,1,2100,0,Yes,9.19
2,16,1,2100,0,Yes,6.89
2,24,1,2100,0,Yes,7.08
2,28,1,2200,0,Yes,7.64
2,20,1,2200,0,Yes,7.02
2,24,1,2300,0,Yes,7.55
2,36,1,2300,0,Yes,8.8
2,48,1,2300,0,Yes,8.95
2,20,1,2400,0,Yes,7.47
2,40,1,2400,0,Yes,8.87
2,56,1,2500,0,Yes,9.23
2,24,1,2600,0,Yes,8.63
2,28,1,2600,0,Yes,8.64
2,32,1,2600,0,Yes,8.74
2,8,1,2600,0,Yes,6.63
2,36,1,2700,0,Yes,8.8
2,48,1,2700,0,Yes,8.95
2,32,1,2800,0,Yes,8.57
2,24,1,3000,0,Yes,8.8
2,36,1,3000,0,Yes,8.82
2,24,1,3000,0,Yes,8.78
2,16,1,3200,0,Yes,8.74
2,24,1,3200,0,Yes,9.73
2,12,1,3400,0,Yes,8.32
2,16,1,3500,0,Yes,9.7
2,8,1,3600,0,Yes,8.18
2,8,1,3600,0,Yes,8.19
2,12,1,1700,4.17,Yes,4.06
2,16,1,1700,4.34,Yes,4.2
2,16,1,1800,0,Yes,6.85
2,40,1,2000,0,Yes,8.84
2,32,1,2000,0,Yes,6.9
2,52,1,2000,9.26,Yes,8.95
2,32,1,2100,0,Yes,8.75
2,44,1,2100,0,Yes,8.89
2,48,1,2100,9.21,Yes,8.9
2,52,1,2100,0,Yes,8.96
2,56,1,2100,0,Yes,9.16
2,16,1,2100,0,Yes,6.9
2,24,1,2100,0,Yes,7.07
2,28,1,2200,0,Yes,7.62
2,20,1,2200,0,Yes,7.01
2,24,1,2300,0,Yes,7.54
2,36,1,2300,0,Yes,8.79
2,48,1,2300,0,Yes,8.95
2,20,1,2400,0,Yes,7.47
2,40,1,2400,0,Yes,8.88
2,56,1,2500,0,Yes,9.2
2,56,1,2500,0,Yes,9.19
2,24,1,2600,0,Yes,8.63
2,28,1,2600,0,Yes,8.64
2,32,1,2600,0,Yes,8.76
2,8,1,2600,0,Yes,6.61
2,48,1,2700,9.24,Yes,8.92
2,32,1,2800,0,Yes,9.31
2,36,1,3000,0,Yes,8.83
2,24,1,3000,0,Yes,8.78
2,16,1,3200,0,Yes,8.77
2,24,1,3200,0,Yes,9.7
2,12,1,3400,0,Yes,8.32
2,16,1,3500,0,Yes,9.69
2,8,1,3600,0,Yes,8.17
2,8,1,3600,0,Yes,8.17
4,64,1,2000,0,Yes,6.89
4,104,1,2000,0,Yes,8.93
4,88,2,3000,8.72,Yes,8.51
4,96,1,2100,0,Yes,8.86
4,104,1,2100,0,Yes,8.94
4,112,1,2100,0,Yes,9.14
4,72,1,2300,0,Yes,8.74
4,96,1,2300,0,Yes,8.98
4,80,1,3700,0,Yes,8.82
4,112,1,2500,0,Yes,9.15
4,56,1,2600,0,Yes,8.7
4,64,1,2600,0,Yes,8.72
4,72,1,2700,0,Yes,8.75
4,64,1,2800,0,Yes,9.35
4,48,1,3000,0,Yes,8.77
4,72,1,3000,0,Yes,8.79
4,48,1,3000,0,Yes,8.75
4,32,1,3200,0,Yes,8.75
4,48,1,4200,0,Yes,9.61
4,16,1,3600,0,Yes,8.48
4,16,1,3600,0,Yes,8.44
4,96,1,2200,5.95,No,5.35
1,4,1,3600,0,Yes,7.86
2,44,1,2200,6.43,No,5.8
